Algoritmo,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Quick Sort,0.08548,0.25476000000000004,0.5435400000000001,0.9233600000000002,1.4350200000000002,2.0854200000000005,2.8283400000000003,3.7649999999999997,4.72332,5.810179999999999,
Heap Sort,0.22844,0.69324,1.2531400000000001,2.6854,3.6731,4.795719999999999,6.0274399999999995,7.38158,8.921819999999999,10.770879999999998,
Insertion Sort,0.9636799999999999,3.71538,10.30384,20.87876,40.154999999999994,67.02525999999999,102.08759999999998,150.09537999999998,205.98814,275.97638,
Bubble Sort,3.96284,21.228099999999998,61.505100000000006,133.0273,241.292,396.39514,604.0273400000001,876.7956000000001,1231.85416,1677.2360600000002,
