Algoritmo,Tempo Lista Aleatoria,Tempo Lista Quase Ordenada,Tempo Lista Revertida
Quick Sort,0.10994,2.44719,1.68011,
Heap Sort,0.63783,0.55403,0.51209,
Insertion Sort,2.13661,0.54171,3.97413,
Bubble Sort,6.107380000000001,2.3800199999999996,3.03186,
